sn	sess	chordID	num_trials	accuracy	num_fingers	MD	MT	RT	ET	MD_std	MT_std	RT_std	ET_std	diff_force_f1	diff_force_f2	diff_force_f3	diff_force_f4	diff_force_f5	force_f1	force_f2	force_f3	force_f4	force_f5	force_e1	force_e2	force_e3	force_e4	force_e5
 1	1	19999	5	  1	1	  0.4920764	    318.4	    169.6	      488	  0.6965602	 540.02481	202.78757	559.22804	        3.87	  -0.1993434	  -0.731216	   -0.471618	  -0.2287288	   -0.498704	   -0.640252	  -0.3847008	   -0.359752	   -0.158482	       3.3713	    -0.839606	     -1.11592	     -0.83136	     -0.38716
 1	1	91999	5	  1	1	  0.0054854	     20.4	    118.8	    139.2	0.002851384	  11.61034	157.54111	167.99167	  -0.0452128	     3.32916	 -0.3922422	   -0.440978	   -0.358672	    0.196042	     -1.7667	   -0.388878	 -0.06012156	 -0.01243472	     0.150804	       1.5624	   -0.7811306	    -0.501114	    -0.371072
 1	1	99199	3	0.6	1	   0.292917	219.33333	       40	259.33333	  0.4742361	 314.13585	30.265492	323.55731	  -0.3249933	  -0.1130707	     3.3015	   -0.069386	   0.3999067	     0.70867	    -0.66301	    -1.68906	    -0.49982	  -0.8020767	      0.38369	   -0.7760767	     1.612477	   -0.5691967	   -0.4022067
 1	1	99919	4	0.8	1	  0.5830765	      510	      181	      691	  0.5634994	 433.45127	209.00718	 622.6192	  -0.3475625	  -0.2270725	 -0.7583275	    2.036125	    0.273205	    1.144508	  -0.4345825	     0.78752	   -0.817545	  -0.5357425	    0.7969525	   -0.6616375	   0.02918217	      1.21855	     -0.26246
 1	1	99991	5	  1	1	  0.4054692	    526.4	      108	    634.4	  0.4472314	 553.96462	60.464866	 531.9124	    -0.30463	    -0.40242	  -0.533058	   -0.173598	      2.1099	   -0.895974	   -0.337622	   0.2207143	   0.7505288	   -0.759814	     -1.20056	    -0.740054	   -0.3123516	    0.5769264	      1.35012
 1	1	29999	5	  1	1	 0.01399986	     41.6	    153.6	    195.2	0.003413168	 17.052859	120.49398	137.19038	    -2.96982	     0.49066	  0.1400942	   -0.250398	  -0.1836927	     3.35928	   -0.110816	   -0.442593	  -0.0720924	  -0.1186188	     0.389446	    0.3798662	   -0.3024849	     -0.32249	    -0.302304
 1	1	92999	5	  1	1	 0.00594526	     23.2	      128	    151.2	0.002520607	 2.2803509	124.04032	124.78461	    0.106448	    -4.07636	  0.2475158	    0.059463	    0.548676	    -0.62966	     2.40824	  -0.7312246	   -0.620996	   -0.814928	     -0.52324	     -1.66814	   -0.4837096	    -0.561478	    -0.266288
 1	1	99299	5	  1	1	  0.1951511	      148	    111.2	    259.2	  0.4230565	 257.18087	87.699487	344.12091	   0.2017044	   -0.023249	   -3.32148	 -0.08717044	    0.290892	    -1.28858	   -0.490842	    2.359652	   -0.075285	     -0.4481	    -1.086874	    -0.514066	   -0.9618208	   -0.1624472	      -0.1572
 1	1	99929	4	0.8	1	  0.2738054	      141	      150	      291	  0.4070981	 142.73986	109.77553	157.77199	   -0.231104	  -0.1941225	  -0.264205	     -2.5529	  0.09783175	    0.437805	   -0.580195	    -0.37382	    1.282665	   -0.744555	    0.2067105	   -0.7742875	    -0.638041	    -1.270225	     -0.64672
 1	1	99992	3	0.6	1	0.004035933	13.333333	334.66667	      348	0.001345886	  4.163332	54.784426	58.275209	   0.4090067	   -0.018899	    0.40922	  -0.2730963	   -2.424567	  -0.2473667	  -0.8819367	   -1.028969	  -0.0933261	    1.813733	    0.1616373	   -0.9008167	   -0.6197673	   -0.3663967	   -0.6108467
 1	1	11999	5	  1	2	   0.836912	    752.8	    136.8	    889.6	  0.6398375	 737.94932	121.75056	798.19847	     3.31724	     3.44824	 0.09320552	   -0.470038	 -0.02908386	    0.280233	     -1.7892	  -0.2630304	   -0.126685	   -0.324966	      3.59746	        1.659	   -0.1698283	    -0.596722	    -0.354034
 1	1	19199	5	  1	2	   0.536862	    334.4	    130.8	    465.2	  0.3438994	 223.12956	122.67518	297.02054	     3.05674	  -0.3881658	    3.45552	   -0.043016	    0.390914	   -0.384968	    -0.54187	   -1.703738	   -0.309864	   -0.822054	      2.67176	    -0.930078	     1.751786	     -0.35288	    -0.431092
 1	1	19919	5	  1	2	   0.346596	    481.2	    151.6	    632.8	  0.3675821	 487.53379	158.38813	602.50079	     2.80544	   -0.286487	  -0.186288	     1.76574	   -0.120491	   -0.712564	    -0.30945	  -0.2908292	    -1.08512	   0.0444256	      2.09288	    -0.595924	   -0.4771028	     0.680638	   -0.0760294
 1	1	19991	5	  1	2	  0.3637996	    228.8	    176.4	    405.2	  0.2480689	 101.61299	176.99944	 239.9775	     2.87136	   0.1483056	  0.3093784	   0.0225568	     1.89852	  0.00176778	   -0.574766	  -0.3583368	  -0.1333576	   -1.079992	      2.87312	    -0.426468	  -0.04897682	    -0.110793	      0.81852
 1	1	91199	4	0.8	2	  0.1386663	       68	       93	      161	  0.1900934	 57.154761	116.40733	172.97784	   0.3667003	     3.46895	    3.69185	   0.0196225	    -0.26003	   -0.666905	    -1.63285	   -1.222512	  -0.1822425	   0.1109804	    -0.300215	     1.836125	     2.469337	   -0.1625655	     -0.14907
 1	1	91919	5	  1	2	  0.1836934	    255.2	      152	    407.2	  0.2179959	 403.37724	149.87995	547.29444	   -0.464492	     3.75528	    -0.4132	     1.83226	    0.516222	   -0.614438	     -1.6642	   0.4101326	   -0.333468	   -0.512698	    -1.078902	      2.09106	  -0.00307258	       1.4988	   0.00352894
